OUT	TaxonomyUsearch
999	AF345821;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus,s:Coprinus sterquilinus
1003	JX968250;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Bolbitius,s:Bolbitius elegans
1004	UTAX;*
1009	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
1010	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
1013	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1016	HQ671306;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Parmeliaceae,g:Usnea
1017	SINTAX;k:Fungi,p:Ascomycota
1024	KT268710;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Herpotrichia
1025	UDB001580;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Hypholoma,s:Hypholoma fasciculare
1027	SINTAX;k:Plantae
1028	FR716597;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae,g:Trichosporon,s:Trichosporon dulcitum
1030	SINTAX;k:Fungi
1031	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes
1033	SINTAX;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae
1036	SINTAX;k:Plantae
1047	SINTAX;k:Fungi,p:Ascomycota
1049	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1050	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1051	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes
1052	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1053	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes
1055	KU729096;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Starmerella,s:Starmerella bombicola
1059	UTAX;k:Fungi,p:Ascomycota
1062	SINTAX;k:Fungi
1065	SINTAX;k:Fungi
1067	UTAX;k:Fungi,p:Basidiomycota
1069	JF758860;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Erythrobasidiales,g:Erythrobasidium,s:Erythrobasidium yunnanense
1070	SINTAX;k:Fungi,p:Ascomycota
1071	SINTAX;k:Fungi
1072	SINTAX;k:Fungi
1073	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
1074	SINTAX;k:Fungi
1075	UTAX;*
1076	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1081	AY805548;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae,g:Capnodium
1082	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1084	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
1087	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1088	SINTAX;k:Fungi,p:Ascomycota
1091	SINTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
1094	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae
1097	HQ222031;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Ramariopsis,s:Ramariopsis flavescens
1099	GU133330;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Naganishia
1100	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae
1102	KT268484;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1103	JN205992;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Ellisomyces,s:Ellisomyces anomalus
1105	SINTAX;k:Fungi,p:Ascomycota
1107	SINTAX;k:Fungi,p:Ascomycota
1108	SINTAX;k:Fungi,p:Ascomycota
1109	JX091485;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Talaromyces,s:Talaromyces chlorolomus
1110	SINTAX;k:Fungi
1112	JX043122;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
1114	SINTAX;k:Fungi
1115	SINTAX;k:Fungi
1117	EU754905;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
1119	UTAX;k:Fungi,p:Ascomycota
1120	UTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes
1121	UTAX;k:Fungi,p:Ascomycota
1124	SINTAX;k:Fungi
1126	No Hit
1127	UTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleraceae
1130	SINTAX;k:Fungi,p:Ascomycota
1131	SINTAX;k:Fungi,p:Ascomycota
1132	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
1133	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1134	UTAX;k:Fungi,p:Ascomycota
1136	SINTAX;k:Fungi
1137	UTAX;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Agaricostilbaceae,g:Bensingtonia
1138	UTAX;k:Fungi,p:Ascomycota
1139	SINTAX;k:Fungi,p:Ascomycota
1140	FJ919774;k:Fungi,p:Basidiomycota,c:Ustilaginomycetes,o:Ustilaginales,f:Ustilaginaceae,g:Kalmanozyma,s:Kalmanozyma fusiformata
1141	DQ900966;k:Fungi
1145	SINTAX;k:Fungi
1146	No Hit
1152	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1153	SINTAX;k:Fungi
1156	SINTAX;k:Fungi
1158	SINTAX;k:Fungi
1159	SINTAX;k:Fungi
1161	SINTAX;k:Fungi
1162	KF251179;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Parastagonospora,s:Parastagonospora poae
1165	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
1168	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1173	KU574713;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Periconia
1177	No Hit
1179	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1180	SINTAX;k:Protista,p:Cercozoa
1181	GU054276;k:Fungi,p:Ascomycota
1187	JN206080;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor plasmaticus
1188	SINTAX;k:Fungi,p:Ascomycota
1192	SINTAX;k:Fungi
1194	SINTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,g:Sporobolomyces,s:Sporobolomyces clavatus
1195	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1198	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae
1199	SINTAX;k:Fungi,p:Ascomycota
1201	SINTAX;k:Fungi,p:Ascomycota
1202	SINTAX;k:Fungi
1203	SINTAX;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Protomyces
1204	UTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales
1205	SINTAX;k:Fungi,p:Ascomycota
1206	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1207	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1208	SINTAX;k:Fungi,p:Ascomycota
1209	DQ182510;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Agaricus,s:Agaricus californicus
1210	UDB020706;k:Fungi,p:Basidiomycota,o:Malasseziales,f:Malasseziaceae,g:Malassezia,s:Malassezia restricta
1214	JN868118;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Amphisphaeriaceae,g:Pestalotiopsis
1215	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1216	HM037956;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Talaromyces,s:Talaromyces aculeatus
1217	KJ867219;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1218	SINTAX;k:Fungi
1220	UTAX;k:Fungi,p:Ascomycota
1221	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1222	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1223	SINTAX;k:Fungi,p:Ascomycota
1227	FJ515608;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Calophoma,s:Calophoma complanata
1228	SINTAX;k:Fungi,p:Ascomycota
1229	SINTAX;k:Fungi
1231	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1232	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1233	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1235	SINTAX;k:Fungi,p:Ascomycota
1236	SINTAX;k:Fungi,p:Ascomycota
1238	SINTAX;k:Fungi
1240	SINTAX;k:Fungi
1242	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1243	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1244	SINTAX;k:Fungi,p:Ascomycota
1249	JN206070;k:Fungi,p:Mucoromycota,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor flavus
1250	UTAX;k:Fungi,p:Ascomycota
1252	KF698741;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Fomitopsidaceae,g:Postia
1254	KF428672;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
1255	SINTAX;k:Protista,p:Cercozoa
1256	FJ237134;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Chionosphaeraceae,g:Kurtzmanomyces
1257	HM030633;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Pilidium
1259	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Didymella,s:Didymella fabae
1260	SINTAX;k:Fungi,p:Ascomycota
1261	FJ571478;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Phomopsis
1264	UTAX;k:Fungi,p:Ascomycota
1267	SINTAX;k:Fungi,p:Basidiomycota
1269	SINTAX;k:Plantae
1271	DQ389665;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Psathyrella,s:Psathyrella potteri
1273	SINTAX;k:Fungi,p:Ascomycota
1274	EU711180;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Metarhizium
1276	SINTAX;k:Fungi,p:Ascomycota
1277	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Lachnocladiaceae,g:Dichostereum,s:Dichostereum durum
1279	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1281	SINTAX;k:Fungi
1283	UTAX;k:Fungi,p:Ascomycota
1285	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1292	SINTAX;k:Fungi,p:Ascomycota
1293	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
1297	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1298	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1301	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1305	SINTAX;k:Fungi
1306	SINTAX;k:Fungi,p:Ascomycota
1308	GU212389;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Cadophora
1309	SINTAX;k:Fungi
1310	SINTAX;k:Fungi,p:Ascomycota
1315	SINTAX;k:Fungi
1316	SINTAX;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
1318	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
1319	SINTAX;k:Fungi
1324	SINTAX;k:Fungi
1331	SINTAX;k:Fungi
1332	UTAX;k:Fungi,p:Ascomycota
1334	SINTAX;k:Fungi
1335	HQ829414;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
1336	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1338	SINTAX;k:Fungi
1340	SINTAX;k:Fungi
1341	UTAX;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales,f:Leucosporidiaceae
1349	SINTAX;k:Fungi
1352	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1361	SINTAX;k:Fungi
1363	UTAX;k:Fungi,p:Ascomycota
1364	SINTAX;k:Fungi
1368	SINTAX;k:Fungi
1371	SINTAX;k:Fungi
1372	SINTAX;k:Fungi
1379	JF747136;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala,s:Exophiala psychrophila
1380	SINTAX;k:Fungi
1384	SINTAX;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
1385	FJ820658;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Corticiales,f:Corticiaceae,g:Limonomyces
1386	JN698875;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium
1388	JX042764;k:Fungi,p:Basidiomycota,c:Microbotryomycetes
1389	UTAX;k:Fungi,p:Ascomycota
1390	SINTAX;k:Fungi,p:Ascomycota
1391	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1394	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1397	FJ820509;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales,f:Hydnodontaceae,g:Trechispora
1398	SINTAX;k:Fungi
1399	SINTAX;k:Fungi
1400	JN712456;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Dacampiaceae,g:Teichospora,s:Teichospora grandicipis
1402	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1403	SINTAX;k:Fungi
1404	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1406	UTAX;*
1407	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Spiculogloeales,f:Spiculogloeaceae,g:Phyllozyma,s:Phyllozyma linderae
1408	JQ796854;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales,f:Ramalinaceae,g:Bacidia,s:Bacidia delicata
1409	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes
1410	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1411	FJ236017;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Drechslera
1412	EU168110;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis
1413	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
1414	JX158422;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Acremonium,s:Acremonium antarcticum
1415	SINTAX;k:Fungi,p:Ascomycota
1417	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1419	SINTAX;k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes
1421	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1422	SINTAX;k:Fungi
1425	GU062310;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Schizophyllaceae,g:Schizophyllum,s:Schizophyllum commune
1426	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1430	SINTAX;k:Chromista,p:Ciliophora
1431	SINTAX;k:Fungi,p:Ascomycota
1432	SINTAX;k:Fungi,p:Ascomycota
1434	SINTAX;k:Fungi
1435	SINTAX;k:Fungi,p:Ascomycota
1436	EU490125;k:Fungi,p:Mucoromycota,o:Mucorales,f:Umbelopsidaceae,g:Umbelopsis
1437	SINTAX;k:Fungi
1438	DQ900965;k:Chromista,p:Ciliophora
1440	KM374425;k:Fungi
1441	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae
1442	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1443	SINTAX;k:Fungi
1444	SINTAX;k:Fungi
1445	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae,g:Podospora,s:Podospora longicaudata
1446	SINTAX;k:Chromista,p:Ciliophora
1447	KC311472;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
1448	SINTAX;k:Fungi,p:Ascomycota
1449	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1450	SINTAX;k:Fungi
1451	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1452	SINTAX;k:Fungi,p:Basidiomycota
1454	SINTAX;k:Fungi,p:Basidiomycota
1456	UTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Acrostalagmus,s:Acrostalagmus luteoalbus
1457	JQ348934;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Montagnulaceae
1459	SINTAX;k:Fungi,p:Ascomycota
1460	SINTAX;k:Fungi
1461	SINTAX;k:Fungi,p:Ascomycota
1462	SINTAX;k:Plantae,p:Anthophyta
1464	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1465	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1466	SINTAX;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales
1468	UTAX;k:Fungi,p:Ascomycota
1470	UTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1471	SINTAX;k:Fungi
1472	GU909564;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia
1473	UDB020434;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
1474	SINTAX;k:Fungi,p:Ascomycota
1476	SINTAX;k:Fungi,p:Ascomycota
1477	SINTAX;k:Fungi,p:Ascomycota
1478	SINTAX;k:Fungi
1479	SINTAX;k:Fungi
1481	LT548264;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Heterogastridiales,f:Heterogastridiaceae,g:Colacogloea
1482	SINTAX;k:Fungi,p:Ascomycota
1484	SINTAX;k:Fungi
1485	SINTAX;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Cryptococcus
1486	DQ516081;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Pochonia
1487	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1488	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus immersus
1489	KM493635;k:Fungi
1490	UTAX;k:Fungi,p:Ascomycota
1492	SINTAX;k:Fungi
1494	UTAX;k:Fungi,p:Ascomycota
1497	GU213438;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Torulaspora
1498	FJ827721;k:Fungi,p:Chytridiomycota,c:Chytridiomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Triparticalcar
1499	SINTAX;k:Fungi,p:Ascomycota
1501	AF444595;k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Kondoaceae,g:Kondoa,s:Kondoa aeria
1502	SINTAX;k:Fungi,p:Ascomycota
1503	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1504	SINTAX;k:Fungi,p:Ascomycota
1505	KM103305;k:Fungi,p:Ascomycota,c:Leotiomycetes,g:Chaetomella,s:Chaetomella raphigera
1506	KR476744;k:Fungi,p:Ascomycota,c:Sordariomycetes,g:Myrmecridium,s:Myrmecridium iridis
1507	SINTAX;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Sarcosomataceae
1513	SINTAX;k:Fungi
1514	SINTAX;k:Fungi
1515	UTAX;k:Fungi,p:Ascomycota
1519	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1520	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
1521	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1522	SINTAX;k:Fungi,p:Ascomycota
1523	SINTAX;k:Fungi,p:Ascomycota
1524	SINTAX;k:Fungi
1525	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae
1526	UTAX;*
1529	SINTAX;k:Fungi,p:Ascomycota
1531	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1532	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1536	SINTAX;k:Fungi,p:Ascomycota
1537	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1538	SINTAX;k:Fungi
1539	SINTAX;k:Fungi,p:Ascomycota
1541	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1542	SINTAX;k:Fungi
1544	SINTAX;k:Fungi,p:Ascomycota
1550	UTAX;k:Fungi,p:Ascomycota
1553	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1554	SINTAX;k:Fungi,p:Ascomycota
1555	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1556	SINTAX;k:Fungi
1558	SINTAX;k:Fungi
1560	SINTAX;k:Fungi
1562	UTAX;k:Fungi,p:Ascomycota
1563	SINTAX;k:Fungi,p:Ascomycota
1564	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1566	SINTAX;k:Fungi,p:Ascomycota
1573	SINTAX;k:Fungi,p:Ascomycota
1578	SINTAX;k:Fungi,p:Ascomycota
1581	SINTAX;k:Fungi,p:Ascomycota
1582	EF682109;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium poae
1583	SINTAX;k:Fungi,p:Ascomycota
1587	UTAX;k:Fungi,p:Ascomycota
1589	SINTAX;k:Fungi,p:Ascomycota
1590	SINTAX;k:Fungi,p:Ascomycota
1592	SINTAX;k:Fungi
1593	KT197663;k:Fungi
1597	SINTAX;k:Fungi,p:Ascomycota
1603	SINTAX;k:Fungi,p:Ascomycota
1604	SINTAX;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala
1605	UTAX;k:Fungi,p:Ascomycota
1606	SINTAX;k:Fungi,p:Ascomycota
1607	SINTAX;k:Fungi
1609	SINTAX;k:Plantae
1611	SINTAX;k:Fungi
1612	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
1613	SINTAX;k:Fungi
1615	SINTAX;k:Fungi
1617	SINTAX;k:Fungi
1618	SINTAX;k:Fungi,p:Ascomycota
1624	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
1629	SINTAX;k:Fungi,p:Ascomycota
1632	UTAX;k:Fungi,p:Ascomycota
1638	SINTAX;k:Fungi
1640	SINTAX;k:Fungi,p:Ascomycota
1644	SINTAX;k:Fungi
1651	SINTAX;k:Fungi,p:Ascomycota
1653	SINTAX;k:Fungi,p:Ascomycota
1657	AB255295;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
1661	GU133332;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,g:Wickerhamomyces
1663	SINTAX;k:Fungi,p:Ascomycota
1667	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes
1673	SINTAX;k:Fungi,p:Ascomycota
1674	SINTAX;k:Fungi,p:Ascomycota
1675	SINTAX;k:Fungi
1676	SINTAX;k:Fungi
1680	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1681	SINTAX;k:Fungi
1682	SINTAX;k:Fungi,p:Ascomycota,c:Sordariomycetes
1685	SINTAX;k:Fungi
1689	SINTAX;k:Fungi
1692	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1694	JN942680;k:Fungi,p:Mucoromycota,o:Mucorales,f:Cunninghamellaceae,g:Absidia,s:Absidia glauca
1695	SINTAX;k:Fungi,p:Ascomycota
1698	SINTAX;k:Fungi
1699	SINTAX;k:Fungi
1701	SINTAX;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
1703	SINTAX;k:Fungi
1704	SINTAX;k:Fungi,p:Ascomycota
1706	SINTAX;k:Fungi,p:Ascomycota
1712	SINTAX;k:Fungi
1716	FJ861405;k:Fungi,p:Mucoromycota,o:Mortierellales,f:Mortierellaceae,g:Mortierella
1717	UTAX;k:Fungi,p:Ascomycota
